dataset,model,seed,best_params,train_cindex_mean,train_cindex_std,train_cindex_ci_lower,train_cindex_ci_upper,train_ibs_mean,train_ibs_std,train_ibs_ci_lower,train_ibs_ci_upper,train_cal_mean,train_cal_std,train_cal_ci_lower,train_cal_ci_upper,val_cindex_mean,val_cindex_std,val_cindex_ci_lower,val_cindex_ci_upper,val_ibs_mean,val_ibs_std,val_ibs_ci_lower,val_ibs_ci_upper,val_cal_mean,val_cal_std,val_cal_ci_lower,val_cal_ci_upper,test_cindex_mean,test_cindex_std,test_cindex_ci_lower,test_cindex_ci_upper,test_ibs_mean,test_ibs_std,test_ibs_ci_lower,test_ibs_ci_upper,test_cal_mean,test_cal_std,test_cal_ci_lower,test_cal_ci_upper,time_sec_total,n_bootstrap_iters,n_trials,space_file,status,error
whas,converse_single,42,"{""latent_dim"": 16, ""enc_layers"": 1, ""enc_hidden"": 16, ""dec_layers"": 4, ""dec_hidden"": 32, ""dropout"": 3.504764624440272e-07, ""variational"": false, ""alpha_REC"": 0.0010758123872190853, ""alpha_KLD"": 0.0074241995367801935, ""alpha_NLL"": 0.5767275909801172, ""alpha_RANK"": 2.2358295559881584e-05, ""lr"": 9.515128365078595e-05, ""activation"": ""leaky_relu"", ""weight_decay"": 4.149916768432017e-07, ""batch_size"": 16, ""lr_scheduler"": ""cosine_annealing"", ""interpolation"": ""linear"", ""clustering_method"": ""agglomerative"", ""n_clusters"": 7, ""num_durations"": 11, ""num_layers"": 1, ""hidden_units"": 64, ""alpha_DVC"": 1.834292484728492e-05, ""alpha_IVCG"": 0.00016242293447839962, ""use_cluster_heads"": false, ""linkage"": ""average""}",0.7992845235760523,0.02035667582760607,0.7626169543596858,0.832198830802568,0.13818442579628437,0.012235829268259613,0.12057233642186437,0.16599575323963905,0.08996131582029629,0.02428216618854936,0.0636361922262704,0.14618982023303587,0.7666934621944207,0.032794431783479044,0.7150759277604916,0.8221401666953507,0.15970111108638338,0.019647233478007738,0.13396527096618147,0.1953815702109566,0.12247443404449136,0.021768258861201442,0.09527863163741038,0.1700109316285957,0.7822760122143831,0.03609075789443358,0.6987111650397784,0.8275726145254161,0.15402616344756526,0.02432945840522644,0.12180797505051398,0.20836115855431378,0.13698670944477492,0.023460044943079007,0.10786191524290224,0.18744561420438427,48384.864473463036,20,300,spaces/converse_single.yaml,ok,
whas,converse_siamese,42,"{""latent_dim"": 16, ""enc_layers"": 3, ""enc_hidden"": 8, ""dec_layers"": 1, ""dec_hidden"": 64, ""dropout"": 6.096124315253317e-07, ""variational"": true, ""alpha_REC"": 2.2312136501786734e-05, ""alpha_KLD"": 0.015298185352827877, ""alpha_NLL"": 0.01958856113002221, ""alpha_RANK"": 0.0001499523218695248, ""lr"": 0.0004032445035590113, ""activation"": ""gelu"", ""weight_decay"": 0.0229806554140937, ""batch_size"": 16, ""lr_scheduler"": ""cosine_annealing"", ""interpolation"": ""linear"", ""clustering_method"": ""GaussianMixture"", ""n_clusters"": 5, ""num_durations"": 14, ""num_layers"": 1, ""hidden_units"": 64, ""alpha_DVC"": 0.08696350390647119, ""alpha_IVCG"": 2.6544875065738392e-05, ""alpha_IVIW"": 0.0004440956479574845, ""alpha_IVCW"": 0.006354980426549095, ""use_cluster_heads"": false, ""covariance_type"": ""tied"", ""reg_covar"": 4.2434101026053185e-05}",0.7981915590277244,0.017660210492070255,0.7675393847080217,0.828837400161592,0.13348893085203234,0.010882020500810505,0.11379742273399829,0.15601172463079785,0.08061141383335221,0.015493649512619048,0.060548815136968366,0.11187901891307644,0.76550331365858,0.028620523268498906,0.7211551824596992,0.8111949942222113,0.15649890200815406,0.01999375816523312,0.13409188403149022,0.2019481673794369,0.12053693129944368,0.016891434976305002,0.10087505502596787,0.1534498263152373,0.7785962152604651,0.04282207210704529,0.6792205471833708,0.8381444218329901,0.1529239260453233,0.02682296213257767,0.1213042483923496,0.2204290280027873,0.12884951125734917,0.02860897298658551,0.0876195555555232,0.18163396933715562,78040.56933345599,20,300,spaces/converse_siamese.yaml,ok,
tcga_brca,converse_single,42,"{""latent_dim"": 16, ""enc_layers"": 4, ""enc_hidden"": 64, ""dec_layers"": 1, ""dec_hidden"": 16, ""dropout"": 0.005162289073679791, ""variational"": false, ""alpha_REC"": 7.12060026305759e-05, ""alpha_KLD"": 0.00017314366825232875, ""alpha_NLL"": 0.968011826857854, ""alpha_RANK"": 1.4963346219970206e-05, ""lr"": 0.00030617216487405946, ""activation"": ""relu"", ""weight_decay"": 3.2942841756946075e-06, ""batch_size"": 64, ""lr_scheduler"": ""cosine_annealing"", ""interpolation"": ""step"", ""clustering_method"": ""kmeans"", ""n_clusters"": 2, ""num_durations"": 10, ""num_layers"": 3, ""hidden_units"": 64, ""alpha_DVC"": 0.11964433530196594, ""alpha_IVCG"": 0.05941069178970699, ""use_cluster_heads"": false}",0.8193721641307403,0.0427635561428437,0.7408378629654853,0.8832582379185255,0.10144737742915082,0.010614942131464793,0.08206721808087565,0.12168934185768324,0.06549627923019827,0.020476894766427958,0.0411476357394569,0.10941051977053567,0.6815454865303234,0.06393119869912452,0.5710925776465884,0.7835452364761128,0.12086263572155928,0.010736868780855849,0.10650813763682385,0.1398318221391026,0.0960911491138522,0.014129475270396758,0.07029752621166795,0.11892370099458513,0.6927858519343876,0.049321408321573994,0.5975129766373807,0.7543013576810922,0.11515913169024172,0.009264218785812555,0.10131934961060923,0.13245763430037008,0.09626392058796138,0.022145967742528413,0.07041820113421118,0.13928897894515926,62850.77299237088,20,300,spaces/converse_single.yaml,ok,
tcga_brca,converse_siamese,42,"{""latent_dim"": 32, ""enc_layers"": 2, ""enc_hidden"": 16, ""dec_layers"": 3, ""dec_hidden"": 16, ""dropout"": 0.33786732804819164, ""variational"": false, ""alpha_REC"": 8.25744715254401e-05, ""alpha_KLD"": 0.0241382476558285, ""alpha_NLL"": 0.2901302867022988, ""alpha_RANK"": 1.968357951976452e-05, ""lr"": 1.136920830950947e-05, ""activation"": ""gelu"", ""weight_decay"": 0.0004613283294107131, ""batch_size"": 64, ""lr_scheduler"": ""None"", ""interpolation"": ""linear"", ""clustering_method"": ""kmeans"", ""n_clusters"": 8, ""num_durations"": 15, ""num_layers"": 1, ""hidden_units"": 16, ""alpha_DVC"": 0.0010575594325631873, ""alpha_IVCG"": 0.00014231674660001315, ""alpha_IVIW"": 0.22381819941163308, ""alpha_IVCW"": 1.1229475588340245e-05, ""use_cluster_heads"": false}",0.7798445589437834,0.02363187293216857,0.7354120909231643,0.8109650734504638,0.10338416223431535,0.0034590261039844283,0.09840995468065264,0.11000806931571087,0.07985690863457287,0.012731842654122994,0.06101975340960224,0.10412601640072891,0.7033669271547953,0.04172297536271029,0.6392633425567411,0.7702264399433275,0.11163831065028054,0.006959594746993847,0.10148697216965667,0.12536980758476562,0.10728754612303296,0.025767720652277486,0.07805338732721696,0.1638767518679254,0.7305645575490125,0.04792055936123665,0.659495283558799,0.8097203636028543,0.10503117040267777,0.006457663529728158,0.09479262346513352,0.11664285720576133,0.11607332244264823,0.02336459159925613,0.0847720093000041,0.16927426818822686,461967.3323813621,20,300,spaces/converse_siamese.yaml,ok,
veterans,converse_single,42,"{""latent_dim"": 32, ""enc_layers"": 4, ""enc_hidden"": 64, ""dec_layers"": 1, ""dec_hidden"": 8, ""dropout"": 0.1850532832557714, ""variational"": true, ""alpha_REC"": 0.03588589149939311, ""alpha_KLD"": 0.09104564641467092, ""alpha_NLL"": 0.1787332595834596, ""alpha_RANK"": 1.887463592306272e-05, ""lr"": 0.008080576004557803, ""activation"": ""relu"", ""weight_decay"": 0.003871128163880911, ""batch_size"": 128, ""lr_scheduler"": ""None"", ""interpolation"": ""linear"", ""clustering_method"": ""kmeans"", ""n_clusters"": 6, ""num_durations"": 13, ""num_layers"": 3, ""hidden_units"": 32, ""alpha_DVC"": 0.34973619808693507, ""alpha_IVCG"": 1.685514902041629e-05, ""use_cluster_heads"": false}",0.7448494325233248,0.033655495509778956,0.6776680801376598,0.8040624205540543,0.1835039130422688,0.028029354609400835,0.1460512512176389,0.2343620539517644,0.19014744268285283,0.0363547679724586,0.13402254969750982,0.2510919458816976,0.7032911879568207,0.05187492161687111,0.6064286341397227,0.7966238115816767,0.216570985194727,0.05102052864290819,0.14141718047129953,0.31765415863525276,0.2856580542508213,0.054079915987854624,0.19715631059607944,0.390891819297035,0.6887544084316768,0.06638266539428835,0.5383243771372741,0.783513418079096,0.19302246945778895,0.04511655771582497,0.11708718557349661,0.2737304596126581,0.25828291694559535,0.05317276143380469,0.17880321866430976,0.3539759104054746,3355.9334944919683,20,300,spaces/converse_single.yaml,ok,
veterans,converse_siamese,42,"{""latent_dim"": 64, ""enc_layers"": 2, ""enc_hidden"": 16, ""dec_layers"": 4, ""dec_hidden"": 32, ""dropout"": 7.000776837814251e-08, ""variational"": false, ""alpha_REC"": 0.005489329176587174, ""alpha_KLD"": 0.00020569655406459824, ""alpha_NLL"": 0.0301282502650343, ""alpha_RANK"": 0.00023893505819783708, ""lr"": 1.2665262408330047e-05, ""activation"": ""gelu"", ""weight_decay"": 0.0007153023955353474, ""batch_size"": 16, ""lr_scheduler"": ""cosine_annealing"", ""interpolation"": ""linear"", ""clustering_method"": ""kmeans"", ""n_clusters"": 6, ""num_durations"": 11, ""num_layers"": 2, ""hidden_units"": 64, ""alpha_DVC"": 1.786214709303575e-05, ""alpha_IVCG"": 0.3886012182905649, ""alpha_IVIW"": 0.20346900207091131, ""alpha_IVCW"": 0.13513973778176888, ""use_cluster_heads"": false}",0.7179589930708465,0.03473431668940359,0.6555439542688516,0.7739472691436817,0.19241137087688692,0.026986696580333015,0.1534938863140522,0.2454388058723685,0.1815032287331024,0.034310959182853276,0.13165870570960977,0.2462593711874666,0.694644442741778,0.07304788975035766,0.5755506839295996,0.8142934312878133,0.2146223195728255,0.05289751676496706,0.13083560471586933,0.30208135415314424,0.2863144539619631,0.051739340633066115,0.2106157237356833,0.37087769953651517,0.6798897352315735,0.06891738577554334,0.5692032248465105,0.7847916666666667,0.1999698639850087,0.06240149879906923,0.1069126169264411,0.3243111489438718,0.26081725920756105,0.04759673608214651,0.18536471481683792,0.33521382785168147,63827.537960510934,20,300,spaces/converse_siamese.yaml,ok,
pbc,converse_single,42,"{""latent_dim"": 32, ""enc_layers"": 1, ""enc_hidden"": 64, ""dec_layers"": 1, ""dec_hidden"": 8, ""dropout"": 7.401144129369503e-07, ""variational"": false, ""alpha_REC"": 0.004183494977683386, ""alpha_KLD"": 0.1798920475668171, ""alpha_NLL"": 0.2516077606192536, ""alpha_RANK"": 1.1867648212185895e-05, ""lr"": 0.00047808532061226346, ""activation"": ""gelu"", ""weight_decay"": 1.1390215558447839e-05, ""batch_size"": 128, ""lr_scheduler"": ""cosine_annealing"", ""interpolation"": ""linear"", ""clustering_method"": ""agglomerative"", ""n_clusters"": 2, ""num_durations"": 6, ""num_layers"": 1, ""hidden_units"": 16, ""alpha_DVC"": 0.0007740735268970473, ""alpha_IVCG"": 0.18542398948788533, ""use_cluster_heads"": false, ""linkage"": ""ward""}",0.78738980217258,0.024506183513289752,0.7415832302731519,0.826454135515245,0.15927126089974847,0.01382626944982037,0.1326861982817832,0.1799032679815249,0.11783454293012167,0.023287795831857132,0.08752335034537995,0.16194884726696437,0.7750787987121386,0.03371923852284754,0.7257514520871785,0.8374042637544826,0.1620224715108834,0.024829790342708963,0.1257827232175716,0.2037134862351513,0.17204295771576986,0.02801628201368779,0.11581823017874189,0.20593507703710523,0.7573464855300924,0.05460903751387948,0.6399615514618895,0.8324473684210526,0.17858572306126763,0.030288011477598478,0.13730981331250747,0.23902149516159185,0.18652586371735763,0.03277323599145253,0.13396678946001134,0.2531015405742124,15287.124732750934,20,300,spaces/converse_single.yaml,ok,
pbc,converse_siamese,42,"{""latent_dim"": 32, ""enc_layers"": 4, ""enc_hidden"": 32, ""dec_layers"": 4, ""dec_hidden"": 64, ""dropout"": 0.020557477828683664, ""variational"": false, ""alpha_REC"": 2.7367348100355555e-05, ""alpha_KLD"": 0.2078005461394774, ""alpha_NLL"": 0.07844696210695103, ""alpha_RANK"": 0.0005733046825022749, ""lr"": 0.021294977310771457, ""activation"": ""leaky_relu"", ""weight_decay"": 0.004635247071933697, ""batch_size"": 32, ""lr_scheduler"": ""None"", ""interpolation"": ""linear"", ""clustering_method"": ""SpectralClustering"", ""n_clusters"": 4, ""num_durations"": 15, ""num_layers"": 1, ""hidden_units"": 8, ""alpha_DVC"": 0.5221813849713938, ""alpha_IVCG"": 0.0004934598884536369, ""alpha_IVIW"": 1.5543830311841973e-05, ""alpha_IVCW"": 0.00022385682443941372, ""use_cluster_heads"": false, ""affinity"": ""rbf""}",0.7903193822696356,0.021531350409598506,0.7558862011286098,0.8250986570464928,0.14758063336179,0.010022874529100242,0.12595892531630842,0.162432066802231,0.09098658326217106,0.01591878651471557,0.06703341753874699,0.12235697205599658,0.7689593462152053,0.028984966665922676,0.7302570884622651,0.8235300777261799,0.15874929444796843,0.02078918909655538,0.12465409853392241,0.19006336411018346,0.1577387661730073,0.026714739482070392,0.12513958817956403,0.2167754455896499,0.7495017928068495,0.05248982632507767,0.6425064432989691,0.8296763185108583,0.17300860447495792,0.028995621437251106,0.1317891447283669,0.23100648627385406,0.1576619290142952,0.03059124061605342,0.11603910531982072,0.22356836852363407,36932.61059527891,20,300,spaces/converse_siamese.yaml,ok,
gbsg,converse_single,42,"{""latent_dim"": 64, ""enc_layers"": 1, ""enc_hidden"": 16, ""dec_layers"": 4, ""dec_hidden"": 32, ""dropout"": 0.1875493176819654, ""variational"": true, ""alpha_REC"": 0.10913612857546998, ""alpha_KLD"": 0.780495158764527, ""alpha_NLL"": 0.0541131225153907, ""alpha_RANK"": 1.3000861599457954e-05, ""lr"": 0.002507090098364525, ""activation"": ""leaky_relu"", ""weight_decay"": 0.0584142866934618, ""batch_size"": 32, ""lr_scheduler"": ""cosine_annealing"", ""interpolation"": ""step"", ""clustering_method"": ""GaussianMixture"", ""n_clusters"": 4, ""num_durations"": 14, ""num_layers"": 1, ""hidden_units"": 16, ""alpha_DVC"": 0.0077772202993452045, ""alpha_IVCG"": 0.0002716248450942089, ""use_cluster_heads"": false, ""covariance_type"": ""full""}",0.7156703223938279,0.011412700058107302,0.6927967281890189,0.7312038797370353,0.17164666819530675,0.0035778083709737648,0.1661695001870726,0.17807349453632526,0.05815143718259021,0.007228000786528467,0.05004207140532509,0.07314236054951267,0.6717459765788416,0.0358883519078431,0.6207347747536162,0.7305006071433112,0.18662802374208923,0.012011258469425962,0.16698610584038845,0.20870853744952328,0.11260315774827008,0.0150157373265534,0.08596214038596148,0.1405423496281784,0.6803411150010747,0.02571039120074835,0.6338719659702786,0.7177942773767931,0.18477778052754484,0.01093104837892137,0.16700694772116542,0.20444943574027796,0.10269209930178314,0.01749324095387447,0.07648575134465548,0.13004245020699157,32064.946082164068,20,300,spaces/converse_single.yaml,ok,
gbsg,converse_siamese,42,"{""latent_dim"": 16, ""enc_layers"": 3, ""enc_hidden"": 8, ""dec_layers"": 2, ""dec_hidden"": 64, ""dropout"": 3.17156501076431e-07, ""variational"": false, ""alpha_REC"": 7.33557477086379e-05, ""alpha_KLD"": 0.004365440152791141, ""alpha_NLL"": 0.45559577201711754, ""alpha_RANK"": 0.00033476211723018753, ""lr"": 0.0013657146163283428, ""activation"": ""relu"", ""weight_decay"": 1.93007549395775e-08, ""batch_size"": 32, ""lr_scheduler"": ""cosine_annealing"", ""interpolation"": ""step"", ""clustering_method"": ""agglomerative"", ""n_clusters"": 2, ""num_durations"": 14, ""num_layers"": 2, ""hidden_units"": 64, ""alpha_DVC"": 0.13726008601640727, ""alpha_IVCG"": 0.9095087822950614, ""alpha_IVIW"": 0.01622846898596626, ""alpha_IVCW"": 4.940278196340698e-05, ""use_cluster_heads"": false, ""linkage"": ""complete""}",0.7367257662165464,0.02042298983121678,0.7039425402074517,0.7671525024332768,0.16250056004610966,0.009011156155906955,0.14844082658884897,0.1750884742574718,0.054488904885745426,0.00555129265647755,0.04613583937770737,0.06569132693645631,0.6648053607293495,0.03634488052411268,0.6075373263589822,0.7367222666181767,0.19161170433843006,0.012930982894663202,0.17236502568260975,0.21323046623898712,0.124017045051668,0.022648715952707805,0.08954894661686595,0.16950271444207582,0.677163778214274,0.025880081342904003,0.6231282947558338,0.7091285714285714,0.18758881949381428,0.012311084811706422,0.16646680690993612,0.2100925937409127,0.10787737271514856,0.01378734027722169,0.08246804547931413,0.12750510201139295,141051.41318355303,20,300,spaces/converse_siamese.yaml,ok,
